author,author_type,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,year_of_construction,house_material_type,finish_type,living_meters,kitchen_meters,district,street,house_number,underground,residential_complex,price_per_m2
BARNES International Realty,real_estate_agent,Москва,sale,flat,25,35,3,137.6,69938474.0,2003,-1,-1,-1,20 м²,Щукино,Авиационная ,79К1,Щукинская,Алые Паруса,508273.7936046512
Intermark Real Estate,real_estate_agent,Москва,sale,flat,4,6,5,204.0,149000000.0,1903,-1,-1,144 м²,25 м²,Хамовники,Малый Власьевский переулок,14/23,Кропоткинская,,730392.1568627451
ID 126320978,homeowner,Москва,sale,flat,15,21,2,43.0,34200000.0,2020,-1,-1,-1,15 м²,Хорошевский,Хорошевское шоссе,25Ак3,Хорошёвская,Династия,795348.8372093023
ВСЕ НАЧИНАЕТСЯ С МЕЧТЫ,real_estate_agent,Москва,sale,flat,12,13,4,184.0,138000000.0,-1,-1,-1,-1,45 м²,Даниловский,проспект Лихачева,10к3,Остров мечты,Квартал на набережной NOW,750000.0
Forma,developer,Москва,sale,flat,3,25,1,25.1,12309040.0,2028,Монолитный,"Без отделки, предчистовая","12,6 м²",-1,Печатники,,,Нагатинский Затон,Портлэнд ЖК,490400.0
NF GROUP,real_estate_agent,Москва,sale,flat,7,7,3,145.3,135000000.0,2001,-1,-1,-1,10 м²,Пресненский,Рочдельская ,12С1,Краснопресненская,,929112.1816930488
NF GROUP,real_estate_agent,Москва,sale,flat,39,65,3,223.3,198000000.0,2008,-1,-1,-1,20 м²,Пресненский,набережная Пресненская,8с1,Деловой центр,Город Столиц,886699.5073891626
NF GROUP,real_estate_agent,Москва,sale,flat,6,12,3,200.1,397796999.0,2013,-1,-1,-1,20 м²,Тверской, Охотный Ряд,2,Охотный ряд,,1987990.99950025
Ильдар Канафеев,realtor,Москва,sale,flat,5,11,2,79.0,66999999.0,2023,-1,-1,"36,3 м²",21 м²,Раменки,Винницкая ,8к1,Раменки,Настоящее,848101.2531645569
NF GROUP,real_estate_agent,Москва,sale,flat,8,15,3,92.1,96705000.0,2023,-1,-1,-1,10 м²,Раменки,проспект Генерала Дорохова,39к1А,Поклонная,Собрание клубных домов West Garden,1050000.0
Intermark Real Estate,real_estate_agent,Москва,sale,flat,8,12,2,93.4,59000000.0,2004,-1,-1,47 м²,18 м²,Мещанский,Протопоповский переулок,17С2,Проспект Мира,,631691.6488222698
Capital Group,developer,Москва,sale,flat,12,18,1,53.4,68243688.0,2027,Монолитный,-,-1,-1,Дорогомилово,,,Москва-Сити,Бадаевский ЖК,1277971.6853932585
hoomie,real_estate_agent,Москва,sale,flat,9,20,2,59.0,26131100.0,2024,-1,-1,"24,1 м²","20,1 м²",Даниловский,,,Тульская,Форст ЖК,442900.0
GLINCOM,official_representative,Москва,sale,flat,5,8,2,79.9,29469000.0,2024,-1,-1,-1,25 м²,Савеловский, Верхняя Масловка,20,Петровский Парк,Verdi,368823.5294117647
FS PROPERTY,real_estate_agent,Москва,sale,flat,4,6,3,160.0,240000000.0,2008,-1,-1,-1,8 м²,Пресненский,Большой Гнездниковский переулок,3,Тверская,Респект,1500000.0
Kalinka Group,real_estate_agent,Москва,sale,flat,6,10,4,219.0,125000000.0,2001,-1,-1,-1,20 м²,Пресненский, Красная Пресня,7,Краснопресненская,,570776.2557077626
Tekta Group,developer,Москва,sale,flat,27,34,3,55.1,24731748.0,2026,Монолитно-кирпичный,Без отделки,"36,2 м²",-1,Нагорный,Электролитный проезд,12Б,Нагорная,Twelve,448852.0508166969
Kalinka Group,real_estate_agent,Москва,sale,flat,8,53,3,150.0,135000000.0,2011,-1,-1,-1,-1,Раменки,Мосфильмовская ,8,Ломоносовский проспект,Дом на Мосфильмовской,900000.0
FS PROPERTY,real_estate_agent,Москва,sale,flat,9,9,-1,485.9,1014213750.0,2003,-1,-1,-1,15 м²,Хамовники,Малый Левшинский переулок,5К2,Парк Культуры,,2087289.0512451122
STONE,developer,Москва,sale,flat,2,24,2,49.8,21882120.0,2027,Монолитно-кирпичный,Без отделки,"28,8 м²",-1,Сокольники, Гастелло,,Сокольники,STONE Sokolniki,439400.0
Whitewill,real_estate_agent,Москва,sale,flat,9,14,2,67.0,57000000.0,2021,-1,-1,"39,2 м²","11,2 м²",Раменки,проспект Генерала Дорохова,39к1Б,Поклонная,Собрание клубных домов West Garden,850746.2686567164
Forma,developer,Москва,sale,flat,24,25,3,81.3,38892944.0,2026,Монолитный,"Без отделки, предчистовая, чистовая, чистовая с мебелью","42,1 м²","18,9 м²",Аэропорт,Часовая ,,Сокол,SOUL,478387.99507995084
Whitewill,real_estate_agent,Москва,sale,flat,4,6,5,242.7,574139999.0,-1,-1,-1,"137,2 м²",30 м²,Хамовники,переулок Хилков,5,Парк Культуры,Особняк в Хилковом переулке,2365636.584260404
Whitewill,real_estate_agent,Москва,sale,flat,7,14,4,96.2,60000000.0,2023,-1,-1,"61,5 м²",8 м²,Раменки,проспект Генерала Дорохова,39к2Г,Минская,Собрание клубных домов West Garden,623700.6237006236
Whitewill,real_estate_agent,Москва,sale,flat,71,79,1,79.0,75000000.0,2020,-1,-1,40 м²,15 м²,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS,949367.088607595
Whitewill,real_estate_agent,Москва,sale,flat,4,14,4,95.3,65000000.0,-1,-1,-1,61 м²,7 м²,Раменки,проспект Генерала Дорохова,39к1Г,Поклонная,Собрание клубных домов West Garden,682056.6631689402
РГ-Девелопмент,developer,Москва,sale,flat,7,21,2,64.2,27440813.0,2025,Монолитный,Без отделки,"29,5 м²","13,2 м²",Савеловский,,,Гражданская,Петровский Парк 2 ЖК,427426.99376947037
Whitewill,real_estate_agent,Москва,sale,flat,3,17,3,97.0,97000000.0,-1,-1,-1,40 м²,28 м²,Пресненский, Сергея Макеева,9к1,Улица 1905 года,RedSide,1000000.0
Whitewill,real_estate_agent,Москва,sale,flat,7,14,4,91.43,66000000.0,2023,-1,-1,62 м²,15 м²,Раменки,проспект Генерала Дорохова,39к2М,Минская,Собрание клубных домов West Garden,721863.7208793611
Колди,developer,Москва,sale,flat,3,21,2,43.41,13470557.0,2025,Монолитно-кирпичный,Без отделки,-1,-1,Нижегородский,,,Калитники,Н'айс Лофт ЖК,310309.99769638333
ID 46607964,homeowner,Москва,sale,flat,6,8,2,45.8,32000000.0,1957,-1,-1,-1,5 м²,Красносельский, Маши Порываевой,38,Площадь трёх вокзалов,,698689.9563318777
BARNES International Realty,real_estate_agent,Москва,sale,flat,14,25,4,127.6,85000000.0,1998,-1,-1,-1,12 м²,Пресненский,Зоологическая ,22,Баррикадная,,666144.2006269593
РГ-Девелопмент,developer,Москва,sale,flat,10,18,1,39.7,14897624.0,2025,Монолитный,Без отделки,"22,4 м²","6,8 м²",Соколиная гора,,,Соколиная гора,Семеновский Парк 2 ЖК,375255.0125944584
NF GROUP,real_estate_agent,Москва,sale,flat,18,20,4,203.3,243960000.0,2024,-1,-1,-1,20 м²,Пресненский,Дружинниковская ,15,Краснопресненская,SkyView,1200000.0
Винидиктов и Партнеры,real_estate_agent,Москва,sale,flat,5,14,4,156.0,134000000.0,2002,-1,-1,"78,8 м²","17,8 м²",Хамовники,Оболенский переулок,9К8,Фрунзенская,,858974.358974359
РГ-Девелопмент,developer,Москва,sale,flat,2,15,2,38.0,15215200.0,2026,"Монолитно-кирпичный, монолитный","Без отделки, чистовая","24,6 м²","4,7 м²",Головинский,Михалковская ,48,Коптево,Михалковский,400400.0
Аврора Проперти,real_estate_agent,Москва,sale,flat,10,22,3,104.7,72500000.0,2018,-1,-1,-1,10 м²,Хорошево-Мневники,Живописная ,21А,Серебряный Бор,Дом Серебряный Бор,692454.6322827125
